"Story","Title","Result","Date","Stability","Duration (s)"
"Create and update a node","Create with a given name, update color and assert","SUCCESS","2018-12-26T15:04:25.672-08:00[America/Los_Angeles]","0.0","0.01"
"Create and bill node","Create and verify, then bill","SUCCESS","2018-12-26T15:04:22.657-08:00[America/Los_Angeles]","0.0","1.06"
